2019-09-15 16:03		5分	游客没用填写买票情况      	XinVCherish		广西值得去的地方，每个季节都不一样。
2016-09-30 09:40		5分	游客没用填写买票情况      	_WeCh****55963		龙脊梯田的美景真的让人眼前一亮，成片的稻田在微风中像金色的波浪一样。不得不让人心灵也变得和这片梯田一样开阔。美美的风景让人喜不自禁。山上的农家美食味道也很不错，强烈推荐龙脊竹筒鸡和山上自家酿的酒。
2016-09-29 12:22		5分	游客没用填写买票情况      	十一月西红柿		非常好，国庆前的一周左右，漫山金黄的稻子，非常壮观！
2016-09-29 10:37		5分	游客没用填写买票情况      	M44****459		非常推荐，真的很好玩，值得一去，而且最好预留半天的时间坐车，因为路况不太好，我们回来的时候修路，到阳朔的路不好走，但是真的非常美
2016-09-29 09:13		5分	游客没用填写买票情况      	jenifer		在携程订票还是很方便的&#x20;去到景区门口再取票就好了&#x20;就是人多的时候可能要排队&#x20;我们报的是携程的车接送&#x20;有人上车帮忙买票的&#x20;可以不用再携程先定&#x20;不然还要自己跑去取票
2016-09-29 07:59		5分	游客没用填写买票情况      	敏敏啊		龙脊景区包括三个部分，最远的金坑大寨是最其中最壮观，最适合看日出日落。景区大门售票处有专线小巴，半小时一趟，但节假日很难等。自驾的游客就方便多了，直接开进去，在一个分岔路口往左是平安，右边是金坑。开到金坑大寨停车场，这有缆车售票处，脚力不好的坐上去到3号观景台金佛顶，也可以自己爬，我这种缺乏锻炼的一个小时就到金佛顶。一路爬一路拍照。2号观景台在3号对面，那里更适合看日出。9月24号去，稻谷还没黄透，十一正合适，可是客栈都翻几倍价格，路上堵车可能几个小时。
2016-09-28 23:05		2分	游客没用填写买票情况      	rainbow		国内景点门票就是贵，这里交通不方便。只能用一个字来形容黑，不会再来第二次了。坑”
2016-09-28 17:16		5分	游客没用填写买票情况      	118****592		不同的季节不同的景色，景色太漂亮了。我还会在不同的季节再次去的！这里的人非常淳朴善良，绝对没有宰客现象。当地特色的竹筒饭统一一个价，山顶上的怡宝矿泉水也才五块一瓶。因为当地的人和景色都很好所以会再去……
2016-09-28 17:05		5分	游客没用填写买票情况      	118****592		这个景点非常好看，景色太好了。值得再去一次，我准备还要去因为不同的季节不同的景色。太漂亮了，那里的人很淳朴善良
2016-09-28 06:32		5分	游客没用填写买票情况      	xinyi2009123		梯田很漂亮，提前预定的车票，乘车时间可以根据自己的游玩时间选择，很方便，一次愉快的出行。
2016-09-27 23:34		5分	游客没用填写买票情况      	龙行天下CL		龙脊梯田是桂林旅游最好的一个景点，梯田依山而建，夏天来绿色的水稻层层叠叠，远观如一幅画，村民的房屋建在山涧中，田园风光无限秀丽。
2016-09-27 22:03		5分	游客没用填写买票情况      	我要带你去流浪		是目前所有我去过的收门票景点中最好的，没有多过的人工设施，基本保持了原生态和旅游需要的平衡，环境卫生也保持的较好，物价略高些，但与全国景区比，还可接受。
2016-09-27 21:36		5分	游客没用填写买票情况      	_WeCh****99155		山區裡的人生活是怎樣的，在城市生活慣了的人，也許會好奇，想去看看，真的很不一樣，真的好享受那裡的恬靜,&#x20;空氣好，環境好，吃的喝的都好健康哦。還有那裡的竹筒雞，好新鮮，在我看來吃新鮮雞已經是奢侈了，好難得，因自己住的地方沒有山地雞吃！&#x0A;足足在那裡住了兩晚，相信住一晚或者幾日來回都人不少，可覺得住久點，才會看到更多，只夠多的運動量，踏著石板路，會慨嘆當年鋪路的人多麼的不容易，他們早已不在了，但就為後人鋪好的路就一直還在。&#x0A;好似與世隔絕的生活，但旅遊成為了當地主要的收入了，好多旅館已將在各個山頭，有些還在建造中，每家每戶做的就是遊客的生意。寨內的人想出去，寨內的人想入來，有些村民也遠走他方去謀生。&#x0A;望盡周圍，除了山還是山，沒人帶路，初來乍到的還是很易走彎路，問問當地人，他們還是會聽熱心告訴你的。
2016-09-27 08:40		5分	游客没用填写买票情况      	110****430		从高处往下看梯田非常壮观，值得一游。
2016-09-26 22:30		3分	游客没用填写买票情况      	冬虫草666		又见大雾，太可惜了，可以说白去一趟。
2016-09-26 21:28		4分	游客没用填写买票情况      	李大宝儿		还不错哦，很美十一去景色会更佳。
2016-09-25 21:54		5分	游客没用填写买票情况      	_WeCh****16352		大酒店家电家具大家觉得男盗女娼南方i放假哪几方面没放假得三年前：烧仙草开卷考试妇女节
2016-09-25 14:21		4分	游客没用填写买票情况      	香薰馨缘		龙脊天堂是上帝对摄影师的恩赐，其规模磅礴壮观，气势恢弘，有梯田世界之冠的美誉。&#x20;龙脊梯田从山脚盘绕到山顶，小山如螺，大山似塔，层层叠叠，高低错落。&#x20;从高处望去，梯田的优美曲线一条条、一根根，或平行或交叉，蜿蜒如春螺、披岚似云塔，线条行云流水，潇洒柔畅，显示了动人心魄的曲线美。
2016-09-25 10:52		4分	游客没用填写买票情况      	_YX1****348		景观相当美，赶上稻子黄了的时候。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2016-09-24 14:17		2分	游客没用填写买票情况      	D45****65		必须要有网络，现场解说效果一般&#x20;，不过可以作为行前预览，了解一下，提前有个准备。最好有路线推荐。
2016-09-24 07:23		3分	游客没用填写买票情况      	八分帅气		一百元门票是必须的，进去了可以在里面住着不出来。还是可以的。总的来说，一年四季只有一段时间是不错的。梯田一般吧，出行爬上爬下腿脚不方便还是别去了
2016-09-23 20:43		4分	游客没用填写买票情况      	阿司匹林zfy		其实春天来更好，田里面插秧有水，像镜子一样。
2016-09-23 20:32		4分	游客没用填写买票情况      	晓芙		九月中旬游玩，麦子正处在由绿变黄的阶段，客栈老板说要等到十一过后才可以收割，所以准备来这里游玩的朋友九月下旬是游览的最佳时间。客栈提供的竹筒饭竹筒鸡米酒等很有当地特色。如果准备住一夜还是要带上厚衣服，昼夜温差比较大，夜里听着潺潺流水入眠，早上伴着鸡鸣苏醒，景色秀丽，民风古朴，还是值得来体验一下的。
2016-09-22 18:04		4分	游客没用填写买票情况      	旅途中的人看风景		龙脊梯田&#x20;是桂林地区一个规模宏大的梯田群，这里坐落着几个少数民族古寨，居住&#x20;住&#x20;着壮、瑶两个民族。来龙脊梯田&#x20;，多以徒步看景拍照为主，还可尝尝当地的农家菜，体验少数民族风情。另外，龙脊的日出很美，值得一观。
2016-09-22 13:23		5分	游客没用填写买票情况      	无花若尘		平安壮族梯田和金坑红瑶梯田：代表壮族和瑶族的文化，龙脊梯田分布在海拔300-1100山上，坡度26-35度，每年九月底十月初稻穗沉甸，层层梯田上翻滚着金色的花浪，飘荡在龙脊的云雾里。。。
2016-09-21 15:23		5分	游客没用填写买票情况      	_WeCh****10727		空气清新，如果可以住上一个星期就好啦，去的时候还不是最好看的时候，稻谷青黄不接，不过还是很漂亮，当地人很亲切，就是旅途很曲折，不过一切都是值得的，大家看图
2016-09-21 13:56		5分	游客没用填写买票情况      	Ivvvvvy_xu		早起看日出。日出前，东方泛着鱼肚白，西边还挂着月亮，等了一个小时，终于不负所望，初升的太阳从山头的云层中蹦出，继而一跃而上
2016-09-21 11:19		4分	游客没用填写买票情况      	286****222		景色还好，就是会比较累，建议游览时间长一点，不会这么累
2016-09-21 08:14		5分	游客没用填写买票情况      	向往青岛		单程索道上去，走下来。不必走下来，下山没风景。当地村民很好，帮你指路，朋友走散，遇见还要说一声，谢谢你，用马托两罐煤气走山路的瑶寨大哥。
2016-09-21 07:32		4分	游客没用填写买票情况      	dalekre		一日游只能看一个景点，时间不够
2016-09-20 13:03		5分	游客没用填写买票情况      	Ivvvvvy_xu		今天目标是闻名已久的龙脊梯田，大清早起床足足坐了四个小时车，终于到了目的地。结果还要爬两小时山，这是有毒啊，不过还好这不会让我失望
2016-09-20 08:51		5分	游客没用填写买票情况      	Derek-DING		梯田景色不错，就是费用贵了点了，能便宜点就更好了！有些乌云的时候感觉比太阳天去看梯田会更有韵味，更美丽！
2016-09-18 03:36		5分	游客没用填写买票情况      	E26****27		景色壮观，但票价太贵，一下车就有人推销拉客太讨厌
2016-09-17 15:08		4分	游客没用填写买票情况      	yan_223		金坑大寨梯田：日出的壮观，梯田的美妙还是很震撼的！住了两晚，享受这份宁静和自然！
2016-09-16 23:14		5分	游客没用填写买票情况      	135****3716		龙脊梯田分为龙脊古壮寨、平安壮寨、金坑大瑶寨。&#x20;进入梯田景区一路而上先到的是古壮寨，这个寨子有一个很吸引人的由壮族女人表演的节目，她们的长发又黑又亮，长至拖地，第二个景点是平安壮寨，这个寨子比较辛苦要想看到梯田就得一路往上爬，爬到山顶可以看到七星伴月，第三个景区是金坑大瑶寨，这个景点可以做缆车上山，到达山顶整个寨子一览无余，梯田包拢着寨子很是壮观。
2016-09-16 21:40		5分	游客没用填写买票情况      	青春		特别美&#x20;前两天刚去&#x20;真的是世外桃源的感觉&#x20;太美了&#x20;可惜时间太紧没住一晚&#x20;超级想看日出日落&#x20;九月底&#x20;十月初一定要再去&#x20;住几天&#x20;好好感受一下&#x20;看看金秋收获的龙脊&#x20;去了那么多地方&#x20;真心感觉想要住到里面去&#x20;真的太美&#x20;小桥流水人家&#x20;夕阳西下&#x20;炊烟袅袅&#x20;所有美的词都无法形容&#x20;真的太美了&#x20;重点是要选对季节&#x20;季节不对风景完全不同
2016-09-15 19:05		4分	游客没用填写买票情况      	_3gwx****40062		挺好的，就是价格贵点，下次不回去了
2016-09-15 07:35		4分	游客没用填写买票情况      	205****160		秋天去的龙脊梯田，风景不错，到处金黄一片，梯田一层又一层，有缆车上下山，我是自己走上去的好累，下山坐缆车、住宿是民宿比较差
2016-09-15 00:25		4分	游客没用填写买票情况      	当地向导桂林叁哥旅游工作室		龙脊梯田&#x20;（黄洛瑶寨&#x20;）：从售票点出发金坑大寨的路上途径黄洛瑶寨&#x20;，听叁哥说黄洛瑶寨&#x20;居住&#x20;住&#x20;着瑶族的一个支系红瑶，因其以红色为最美，以红色为服饰的显著特征而得名。寨子里居住&#x20;住&#x20;的红瑶全部姓潘。红瑶寨里的120多名成年妇女中，有80多名的头发在1.4米以上，最长的达1.8米，2002年获得上海大世界基尼斯总部颁发的“群体长发女之最”的证书，号称天下第一长发村。听说等下还有表演由于我本人对这种民族舞蹈比较感兴趣，就叫叁哥停车去帮我们买了票80元&#x2F;人，听着民歌看着当地的这种民族舞蹈让我感觉如梦境般！看完表演出来已经12点了，几个吃货&#x20;的肚子有点小饿了决定就在这边用餐了，叁哥给我们推荐一家叫（自家人）餐厅用餐。值得推荐的是他们家的特色竹筒鸡、竹筒饭、清蒸鱼真的很好吃7个人一起去了288元而已，哈哈吃货&#x20;的思想您懂的！用完餐之后出发金坑大寨。
2016-09-14 20:44		5分	游客没用填写买票情况      	_WeCh****21731		龙脊梯田分两个景点安排，一个是红瑶长发村，不看表演就比较无聊了，看看确实有所收获。二是梯田，顺着索道上下节省体力和时间，看到的景色也很全面，值得一游！
2016-09-14 15:52		5分	游客没用填写买票情况      	水波荷包蛋		很喜欢这里，民俗风景都很诱人，细水长流很清澈，层层稻田绿的干净，田里的黄瓜很甜，晚上坐在藤椅上看天上的星星很舒爽，好多老外都在这里
2016-09-14 08:01		4分	游客没用填写买票情况      	杭州闫帅		三点从龙脊出发，这个巴士车况一般，没有行李架，也比较小。不过其他巴士都是三点半出发，这个早半小时到桂林。全程3小时不到，还行吧。山路坐的人很晕。
2016-09-13 13:04		5分	游客没用填写买票情况      	e92****97		从金坑到桂林大概2个小时，全程约3小时，比预计的4小时快了1个小时，桂林到阳朔段走的是高速。如果直接到全景楼订票需要70元，这里订就便宜点。
2016-09-12 16:56		4分	游客没用填写买票情况      	天降来福		替人定的，据说很有特色，值得一看。就是非要40个字有点为难。不是本人能说什么呢？结束
2016-09-12 16:31		4分	游客没用填写买票情况      	_CFT01****2950613		很美，大自然的恩赐，上来时坐的缆车，倒没什么下来的时候，下雨路滑，整得一头汗………
2016-09-12 14:39		5分	游客没用填写买票情况      	M61****85		强烈建议来桂林一定要游一游龙脊梯田，这里的景色是纯天然的，里面的村民都非常热情和淳朴，和阳朔的商业化完全不同的感觉。有时间可以住一晚那里的民宿，价格都不贵。推荐那里的竹筒鸡和竹筒饭，非常有特色，吃这个要提前和老板预定，确实要在炭火上烧一段时间的
2016-09-11 14:27		4分	游客没用填写买票情况      	小英英爱游天下		今天只游乐龙脊梯田&#x20;,下次再来一顶要去金坑大寨,先记录些姿势,为下次做准备哈哈.金坑梯田&#x20;位于龙脊梯田&#x20;景区内的大寨村，这里是红衣瑶族的村寨，因此又叫大寨红瑶梯田。相比龙脊的平安壮族梯田&#x20;和龙脊古壮寨&#x20;，金坑梯田&#x20;更为原生态，梯田景观也更为辽阔和壮美，这里拥有绝佳的日出与日落的观景点。金坑梯田&#x20;地处龙脊梯田&#x20;景区的深处，梯田四面群山环绕酷似一个天然大天坑。相比另外两个观景区，这里的地势更为陡峭、梯田的层次错落更繁复，而在这里可以登上更高的观景台纵观全景。由于这个观景区开发得更晚，这里的商业气息相对更少，村寨内依旧保持着更为纯朴的气息。金坑梯田&#x20;主要有三个绝佳的观日点：1号观景点“西山韶乐”是海拔最高、视野最开阔的观景点，日出日落都适合拍摄；2号观景点“千层天梯”的路比较好走，适合看日出，还能看到瑶族寨子；3号观景点“金佛顶”是拍摄日落的最佳地点，现开通了大寨景区门口直达金佛顶的缆车，方便了许多。&#x20;如何到达：可在桂林&#x20;琴潭汽车站乘坐桂林-龙胜县（普通班），沿途停靠龙脊梯田&#x20;的三个入口：龙脊古壮寨&#x20;、平安壮寨&#x20;、大寨红瑶梯田。也可从龙胜坐班车去景区，回程有梯田去阳朔的，好像只有早上九点的。哈哈金坑大寨这部分纯属为下次做准备，下次一定去这个寨子住&#x20;住&#x20;一晚看日出。下次我要秋天来,看金黄金黄的梯田.
2016-09-11 13:20		4分	游客没用填写买票情况      	doudou		我是自由行过去。在桂林琴谭坐车去到和平下车在坐去金坑。上车要叫买往返票。挺坑。我不愿意。因为我在路上有看到山下知道阳朔的车。上山的车票是15。听当地人告诉我。不愿意买往返买单程就是20。我事先有问桂林的司机他告诉我是15。车上有卖景区门票的，是95。下车有当地阿婶来帮你背包，需要收费的。我自行步行上山。包车上山在4，50左右。山上是寨民自家旅馆。一般在80到150不等。游客多晚上会有表演。门票20。可能去得不是季节。。有点失望。
2016-09-10 16:06		5分	游客没用填写买票情况      	M36****914		景色很漂亮，空气很清新，农家饭好吃，特别是那里的鸡和米饭，可惜我不够时间，要不然会继续在那里玩两天，然后欣赏日出和日落！
2016-09-10 09:34		4分	游客没用填写买票情况      	200****963		梯田美丽，很有层次感，大气，联系索道上，人工下山游，省力，1号2号观景点是没有索道上下的，索道是通到3号观景台的。
2016-09-09 16:25		4分	游客没用填写买票情况      	樱z桃		订的大寨停车场回桂林市区的直达车，方便，小巴车，车内座垫有点脏，评论还非要40个字！
2016-09-08 22:30		3分	游客没用填写买票情况      	M11****463		爬山爬的脚也抖，最后还带了一身蚊子块回去，其实没那么好玩，就是看看风景，为了看一眼梯田也是蛮拼的
2016-09-08 19:38		4分	游客没用填写买票情况      	203****552		路太难走，上去一趟太不容易了。景色还是可以，就是上去开车太辛苦啦！比较原始自然的一个地方，去一趟还是可以的，路太险！
2016-09-08 17:27		4分	游客没用填写买票情况      	doudou		我是自由行。从桂林辗转大巴三个多才到。上山住寨民家庭式旅馆里。80到150以上不等房价。过去就看梯田。晚上游客多就有表演可看。有篝火晚会。门票是20。空气很好。再过多一个月景色更美。稻谷熟了。满片的金黄。上山看景时有接山泉水喝。比矿泉水好喝，还挺冰。晚上没有开空调盖的厚被子。有一些村民还是挺质朴。有一些……果子挺甜的。走时买了一串葡萄。感叹买少了。不够吃。
2016-09-08 15:59		4分	游客没用填写买票情况      	那茶		在广西龙胜各族自治县龙脊镇平安村龙脊山，距县城22公里。距桂林市80公里，从广义说叫做龙胜梯田，从狭义上称为龙脊梯田。&#x0A;&#x20;&#x20;&#x20;&#x20;龙脊梯田分为金坑（大寨）瑶族梯田观景区，平安壮族梯田观景区。通常意义上的龙脊梯田是指龙脊平安壮族梯田，也是开发较早的梯田。梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路，一直升到约海拔600米以上，到梯田时海拔达到880米。我们这次去最里面的金坑大寨瑶族梯田，相比较之下金坑的旅行团会少一点。&#x0A;金坑最好的酒店是全景楼，也是整个景区海拔最高的，酒店配备了电梯，这里早起看日出的确是比较方便，但是如果你不是摄影爱好者，强烈不推荐你住在全景楼，实在是太高了，而且到了晚上孤零零的一幢酒店也没有地方打发时间，个人推荐比全景楼稍微低点的田头寨，相对那边房屋集中点，总算有点灯火而且有个小酒吧，最关键的是那里还有一个越野车接送服务，有越野车可以直接开到寨子里，这对于年长或者体力不好的人绝对是完美。
2016-09-07 21:30		5分	游客没用填写买票情况      	蔡芷涵		梯田处处有，可像龙脊梯田这样大规模的集中实属罕见。从流水湍急的河谷，到白云缭绕的山巅，从万木葱茏的林边到石壁陡崖前，凡有泥土的地方，都开辟了梯田。垂直高度达五六里，横向伸延五六里，那起伏的和高耸入云的山，蜿蜓的如同一级级登上蓝天的天梯，像天与地之间一幅幅巨大的抽象画。&#x0A;&#x20;龙腾高天鹏程远，&#x0A;&#x20;胜利在握博千山。&#x0A;&#x20;梯度九宵布施雨，&#x0A;&#x20;田瑶稼禾慰苍天。
2016-09-07 16:35		5分	游客没用填写买票情况      	m67****02		坐车换车来回5个多小时，到梯田坐缆车上20分钟，走下来一个小时多点，上面的风景不错凉快，待了半个小时，下来小腿又点软，不过走走就好了，晕车的要买晕车药，这里的山路十八弯～
2016-09-06 15:37		3分	游客没用填写买票情况      	柠檬绿茶		对于只是想要去看一下梯田的朋友个人建议到了大寨直接坐索道上去和下来价格110元，在金佛鼎西边可以看到整片的梯田走近了看都是小梯田没意思
2016-09-06 13:17		5分	游客没用填写买票情况      	oraculixe		梯田本是农民依山而建的农田，但是被城里人当作了风景，不过这里确实挺震撼的，最主要的是清新的空气，远离城市的喧嚣，现在看到的变化不多，秋天会更漂亮。
2016-09-05 06:21		4分	游客没用填写买票情况      	_CFT01****9349117		跟着团游玩这个景点，景点确实不错，很美！我们买的双程索道，建议买单程的索道坐上去，慢慢的游玩下来，这样比较好，可以近距离接触的梯田的美。老人就还是双层，舒服一些。竹筒饭还可以，竹筒鸡就不要尝试了。
2016-09-04 08:01		5分	游客没用填写买票情况      	M43****542		非常美丽壮观，最好放水或稻谷成熟的时候去！
2016-09-04 00:02		2分	游客没用填写买票情况      	新新小游		禾熟见着金色的浪，这是王道。一片绿色，也是宏伟，只可惜少了绝色。道路不好走，山上旅馆不太好，应在桂林一早出，晚上回。多的脚力，在田间走走。
2016-09-03 19:13		5分	游客没用填写买票情况      	zhlhxy		风光秀丽，景色宜人，民风淳朴，值得推荐。
2016-09-03 18:35		5分	游客没用填写买票情况      	小昕yani		我们去的是平安壮寨的七星伴月和九龙五虎，个人感觉还是值得一去的，除了景观本身很壮观之外，爬梯田的过程我们也很享受，不过坐景区的大巴车上山还是很惊险的。
2016-09-03 12:40		5分	游客没用填写买票情况      	冰山		很震撼，很美丽。登高远眺，美不胜收。
2016-09-01 16:24		5分	游客没用填写买票情况      	M43****491		空气特别好。村民还挺热情的。要是能够安排到村民哪里住会更好。这样可以体验一下她们的风俗。
2016-09-01 00:44		5分	游客没用填写买票情况      	M23****388		女儿太强悍了，紧紧跟着导游，一点都没有喊累，很多人都累得掉队了，女儿真棒。不愧是小小旅行家。
2016-08-30 15:57		5分	游客没用填写买票情况      	_gf1****738		金坑大寨上车-桂林火车站，前一天晚上司机会联系乘客确认具体乘车时间，小童半价票有座位，方便而且服务也不错，整体满意。
2016-08-30 13:28		5分	游客没用填写买票情况      	M23****734		非常好看，空气质量好，是旅游度假好地方！
2016-08-30 12:58		5分	游客没用填写买票情况      	139****1788		时间充裕的话三个寨可以都玩一圈，这个季节都是绿色没有放水的时候更好看。如果住一天慢慢玩更好，可以看日出日落。
2016-08-29 10:44		5分	游客没用填写买票情况      	_WeCh****52351		本来来桂林是自由行，因为去梯田没车不方便就报了一日团，秦狗肉很不错，事情安排的都很好，值得点赞????
2016-08-28 23:58		5分	游客没用填写买票情况      	e05****77		这里无啥趣味，但这里很清静，感觉很舒服！上下的交通只能靠走，全是青石板路，不过登上山顶看见梯田还是很震憾！通往各景点的路标太随意，几乎很难发现！
2016-08-28 17:34		3分	游客没用填写买票情况      	M43****928		这次是做好不跟团准备的，谁知道误打误撞又跟了团，很是后悔。爬梯田的时间不足，只爬了一半有点不过瘾。景色很美，尤如进入了童话世界美不胜收！
2016-08-28 14:33		4分	游客没用填写买票情况      	_CFT01****5731712		金坑大寨的梯田真让人震撼，感叹劳动人民的力量，有点儿类似于万里长城，是人类经久劳动造就的奇迹。瑶族人民的民族特色也让人印象深刻，希望古老悠久的传统不会消亡，不会被络绎不绝的游人同化……
2016-08-28 13:53		5分	游客没用填写买票情况      	kklove		夏末到桂林，除了看山水，当然也要来看看梯田。可以自己爬也有人协助，我们当然是自己爬。现在的梯田是一片绿色，绿油油的颜色也是极棒的。
2016-08-28 10:13		5分	游客没用填写买票情况      	光头佬ZAC		没拿单反，有雾拍的不太清，十一时去的，下雨还要带件外套
2016-08-28 01:23		5分	游客没用填写买票情况      	205****991		虽然这个时候还是绿油油，但在城市绝对看不到这样的景色
2016-08-28 00:03		4分	游客没用填写买票情况      	老狒狒的梦里水乡		没有看过梯田的人，还是值得去看一次的，离桂林3小时车程，去金坑有缆车，爬山还是很辛苦的，山路是石板路，不好走，下山有点陡，但在上面看梯田还是很漂亮的，当地人很朴实，基本都是瑶族人
2016-08-27 10:43		5分	游客没用填写买票情况      	M42****289		适合一个人发呆的地方，住宿超便宜，大力推介当地的红瑶竹桶鸡，放了野生花椒，很香好吃，不辣，很适合南方人口味，还有店家送的糯米酒也要尝尝。
2016-08-27 08:29		5分	游客没用填写买票情况      	288****053		龙脊梯田曲线优美，线条行云流水，潇洒柔畅；规模磅礴壮观，气势恢弘，有“梯田世界之冠”的美誉。春季，水满田畴，如片片镜子，反射着光辉；夏季，这里是一片嫩绿的海洋；金秋，是金黄的世界；隆冬，又是一副瑞雪兆丰年的绝美画面。然而最有趣的是，这看似辽阔壮观的梯田世界，最大的一块田却不过一亩，大多数是只能种一二行禾的碎田块，有&amp;quot;青蛙一跳三块田&amp;quot;之说。
2016-08-26 13:12		5分	游客没用填写买票情况      	门前风		1、名气很响，一路坦途，自驾方便&#x0A;2、相对而言，门票与索道性价比高，小孩不计身高都是学生半价&#x0A;3、景色很好，环境优美，沿溪很美，还可带小孩下去嬉闹一番，亲近大自然。
2016-08-26 13:03		5分	游客没用填写买票情况      	U44658****817155		很值得去的一个景点，很美很壮观，民风纯朴，我是住在全景楼，一早起来看曰出，绿色的梯田在阳光的照耀下真的美丽极了，全景楼下面有一个农家做的竹筒鸡和竹筒饭真的很好吃。
2016-08-25 22:19		5分	游客没用填写买票情况      	Lily		车开得很平稳，司机在狭窄的山路熟练的行驶，赞！只是从阳朔到龙脊梯田的车程要近五个小时。累啊！
2016-08-25 19:02		5分	游客没用填写买票情况      	Jessigz		国庆节前去的，景色很美，服务跟不上。
2016-08-25 18:11		5分	游客没用填写买票情况      	300****392		玩的很好，景区很美。玩的很好，景区很美。玩的很好，景区很美。玩的很好，景区很美。
2016-08-25 10:13		5分	游客没用填写买票情况      	zhulintingyu		景色很美，很壮观，层次感很强，真可谓美景如画，处在其中，很享受&#x20;要是秋天来会更美！
2016-08-25 00:58		5分	游客没用填写买票情况      	_CFT01****4712943		不错的一日游，行程就是走上平安寨，喜欢这种乡间小道，喜欢这种一片绿油油的梯田，喜欢与大自然亲密接触的感觉。导游特别nice,很负责任，很耐心。
2016-08-24 22:42		5分	游客没用填写买票情况      	茱比亞珍		对此的评价便是，不虚此行，景色没得不要不要的
2016-08-24 15:58		4分	游客没用填写买票情况      	安琪的号角		很美的梯田景色。&#x0A;平安规模小，兜一圈2个多小时，尽量别在山上吃饭，很贵。&#x0A;大寨梯田很壮观，只是爬起来累死人。&#x0A;景美，但人不美，功利心很重。
2016-08-24 08:22		5分	游客没用填写买票情况      	e18****13		七星伴月--要自己爬山上去，确实有点累，但最终还是上去了，从上往下看梯田景观壮观，还有个景点观景台没有去。金坑梯田有缆车，现场110元一人，坐缆车在高空中看梯田景观还是一个字--壮观，梯田还是值得一游。
2016-08-23 11:30		5分	游客没用填写买票情况      	十六号舰长		好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好玩i
2016-08-22 23:34		3分	游客没用填写买票情况      	202****605		爬山很累，风景美，但大寨的路大烂-------------&#x2F;&#x2F;&#x2F;---------&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;-&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;&#x2F;-
2016-08-22 11:18		5分	游客没用填写买票情况      	170****301		美景只能藏在深山大岭中才不容易遭受破坏，十年前去过龙脊，那时游人很少，多数是背包族，也感受到当地村民生活的艰难贫困。十年后重游，景区不断开发，自然景色多少会遭到破坏，但当地村民依旧给我很淳朴的感觉。开发旅游带动经济发展！
2016-08-21 22:56		4分	游客没用填写买票情况      	135****6730		很美，空气清新，真的很喜欢这里，就是景区内居民都想方设法赚钱，七十岁的阿婆追着要帮背行李，说了好几次说不用还偏跟你，一路跟你说话，不答理也不是，答理多了，到点竟然叫你拿导游费，也真是晕了，这让人有点反感！就是风景真是没话说的，这次去因为天气不好没看成日出！希望有机会再来！
2016-08-21 05:52		5分	游客没用填写买票情况      	Lily		从阳朔到大寨停车场近5个小时，把行李寄存在山脚，取简单换洗衣服爬梯田，大巴车司机会在行李寄存处停留方便大家，然后凭着熟练的爬山车技再开到大寨停车场放下我们，游客可自行爬梯田或在停车场那租辆越野车150元一辆6人直接开到山上，可拼车。在山脚有很多饭店和客栈，但我建议，在田头寨客栈住宿，那儿客栈又多，最主要不走回头路，爬梯田上去既可观景即可入住，不用又下山住，而且第二天还可以去山顶看日出。
2016-08-20 16:50		5分	游客没用填写买票情况      	M10****121		景区的门票虽然有点贵。但是景色确实迷人的。梯田确实很壮观。我们去的时候是八月中旬。绿油油的一片。也是非常好看的。去到三号观景台的时候。还看见了一条彩虹。早上去二号观景台看日出。却没有看到。希望下次在五月份灌水的时候再去看。
2016-08-20 16:36		4分	游客没用填写买票情况      	M10****593		离桂林远，到了景点买了门票还要开23公里才到缆车点。开车着实累人，车路弯弯曲曲的，还不时有落石的痕迹。不过梯田着实令人感到气场之大。
2016-08-20 11:49		5分	游客没用填写买票情况      	m08****90		我订的是自驾票，取票方便，从售票点开到景点入口，一路都是盘山路，大概开了45分钟。
2016-08-20 09:20		5分	游客没用填写买票情况      	D11****667		进大寨的景区公交车只卖往返票，25元一张，出来后坐指定大巴去桂林只要26元，所以不用提前预定其他的车，
2016-08-20 01:41		5分	游客没用填写买票情况      	森藐0426		桂林之行唯一让人满意的景点，景色非常优美，景区中的商家也很友好，竹筒鸡很好吃，民风很纯朴
2016-08-20 00:56		4分	游客没用填写买票情况      	133****0961		见面不如闻名，图片比实景好。&#x0A;里边管理不好，山民到处大兴土木搞农家乐，环境保护不好，路牌指引，地图，安全提示这些景区硬件一概欠奉。
